arquetipo_a,nombre_a,arquetipo_b,nombre_b,solapamiento_jaccard,contradiccion_ejes,categoria
7,Dependencia de pocos clientes,14,ROE elevado por apalancamiento,0.0,0,COMPATIBLE
7,Dependencia de pocos clientes,15,Riesgo de liquidez pese a beneficio,0.0,0,COMPATIBLE
7,Dependencia de pocos clientes,16,Riesgo de refinanciación,0.0,0,COMPATIBLE
7,Dependencia de pocos clientes,17,Capex elevado,0.0,0,COMPATIBLE
7,Dependencia de pocos clientes,18,Adquisición,0.0,0,COMPATIBLE
7,Dependencia de pocos clientes,19,Activo mantenido para la venta,0.0,0,COMPATIBLE
7,Dependencia de pocos clientes,20,Operaciones vinculadas,0.0,0,COMPATIBLE
7,Dependencia de pocos clientes,21,Coberturas,0.0,0,COMPATIBLE
7,Dependencia de pocos clientes,22,Información relevante en memoria,0.0,0,COMPATIBLE
8,Refinanciación,9,Apalancamiento,0.0,0,COMPATIBLE
8,Refinanciación,10,Mejora de EBITDA,0.0,0,COMPATIBLE
8,Refinanciación,11,Mejora de margen,0.0,0,COMPATIBLE
8,Refinanciación,12,Resultado extraordinario,0.0,0,COMPATIBLE
8,Refinanciación,13,Diferencias EBITDA/EBIT/beneficio/caja,0.0,0,COMPATIBLE
8,Refinanciación,14,ROE elevado por apalancamiento,0.0,0,COMPATIBLE
8,Refinanciación,15,Riesgo de liquidez pese a beneficio,0.0,0,COMPATIBLE
8,Refinanciación,16,Riesgo de refinanciación,1.0,0,REDUNDANTE
8,Refinanciación,17,Capex elevado,0.0,0,COMPATIBLE
8,Refinanciación,18,Adquisición,0.0,0,COMPATIBLE
8,Refinanciación,19,Activo mantenido para la venta,0.0,0,COMPATIBLE
8,Refinanciación,20,Operaciones vinculadas,0.0,0,COMPATIBLE
8,Refinanciación,21,Coberturas,0.0,0,COMPATIBLE
8,Refinanciación,22,Información relevante en memoria,0.0,0,COMPATIBLE
9,Apalancamiento,10,Mejora de EBITDA,0.0,0,COMPATIBLE
9,Apalancamiento,11,Mejora de margen,0.0,0,COMPATIBLE
9,Apalancamiento,12,Resultado extraordinario,0.0,0,COMPATIBLE
9,Apalancamiento,13,Diferencias EBITDA/EBIT/beneficio/caja,0.0,0,COMPATIBLE
9,Apalancamiento,14,ROE elevado por apalancamiento,0.667,0,REDUNDANTE
9,Apalancamiento,15,Riesgo de liquidez pese a beneficio,0.0,0,COMPATIBLE
9,Apalancamiento,16,Riesgo de refinanciación,0.0,0,COMPATIBLE
9,Apalancamiento,17,Capex elevado,0.0,0,COMPATIBLE
9,Apalancamiento,18,Adquisición,0.0,0,COMPATIBLE
9,Apalancamiento,19,Activo mantenido para la venta,0.0,0,COMPATIBLE
9,Apalancamiento,20,Operaciones vinculadas,0.0,0,COMPATIBLE
9,Apalancamiento,21,Coberturas,1.0,0,REDUNDANTE
9,Apalancamiento,22,Información relevante en memoria,0.0,0,COMPATIBLE
10,Mejora de EBITDA,11,Mejora de margen,1.0,0,REDUNDANTE
10,Mejora de EBITDA,12,Resultado extraordinario,0.0,0,COMPATIBLE
10,Mejora de EBITDA,13,Diferencias EBITDA/EBIT/beneficio/caja,0.333,0,SOLAPAMIENTO_MODERADO
10,Mejora de EBITDA,14,ROE elevado por apalancamiento,0.0,0,COMPATIBLE
10,Mejora de EBITDA,15,Riesgo de liquidez pese a beneficio,0.0,0,COMPATIBLE
10,Mejora de EBITDA,16,Riesgo de refinanciación,0.0,0,COMPATIBLE
10,Mejora de EBITDA,17,Capex elevado,0.0,0,COMPATIBLE
10,Mejora de EBITDA,18,Adquisición,0.0,0,COMPATIBLE
10,Mejora de EBITDA,19,Activo mantenido para la venta,0.0,0,COMPATIBLE
10,Mejora de EBITDA,20,Operaciones vinculadas,0.0,0,COMPATIBLE
10,Mejora de EBITDA,21,Coberturas,0.0,0,COMPATIBLE
10,Mejora de EBITDA,22,Información relevante en memoria,0.0,0,COMPATIBLE
11,Mejora de margen,12,Resultado extraordinario,0.0,0,COMPATIBLE
11,Mejora de margen,13,Diferencias EBITDA/EBIT/beneficio/caja,0.333,0,SOLAPAMIENTO_MODERADO
11,Mejora de margen,14,ROE elevado por apalancamiento,0.0,0,COMPATIBLE
11,Mejora de margen,15,Riesgo de liquidez pese a beneficio,0.0,0,COMPATIBLE
11,Mejora de margen,16,Riesgo de refinanciación,0.0,0,COMPATIBLE
11,Mejora de margen,17,Capex elevado,0.0,0,COMPATIBLE
11,Mejora de margen,18,Adquisición,0.0,0,COMPATIBLE
11,Mejora de margen,19,Activo mantenido para la venta,0.0,0,COMPATIBLE
11,Mejora de margen,20,Operaciones vinculadas,0.0,0,COMPATIBLE
11,Mejora de margen,21,Coberturas,0.0,0,COMPATIBLE
11,Mejora de margen,22,Información relevante en memoria,0.0,0,COMPATIBLE
12,Resultado extraordinario,13,Diferencias EBITDA/EBIT/beneficio/caja,0.0,0,COMPATIBLE
12,Resultado extraordinario,14,ROE elevado por apalancamiento,0.0,0,COMPATIBLE
12,Resultado extraordinario,15,Riesgo de liquidez pese a beneficio,0.0,0,COMPATIBLE
12,Resultado extraordinario,16,Riesgo de refinanciación,0.0,0,COMPATIBLE
12,Resultado extraordinario,17,Capex elevado,0.0,0,COMPATIBLE
12,Resultado extraordinario,18,Adquisición,0.0,0,COMPATIBLE
12,Resultado extraordinario,19,Activo mantenido para la venta,0.0,0,COMPATIBLE
12,Resultado extraordinario,20,Operaciones vinculadas,0.0,0,COMPATIBLE
12,Resultado extraordinario,21,Coberturas,0.0,0,COMPATIBLE
12,Resultado extraordinario,22,Información relevante en memoria,0.0,0,COMPATIBLE
13,Diferencias EBITDA/EBIT/beneficio/caja,14,ROE elevado por apalancamiento,0.0,0,COMPATIBLE
13,Diferencias EBITDA/EBIT/beneficio/caja,15,Riesgo de liquidez pese a beneficio,0.667,0,REDUNDANTE
13,Diferencias EBITDA/EBIT/beneficio/caja,16,Riesgo de refinanciación,0.0,0,COMPATIBLE
13,Diferencias EBITDA/EBIT/beneficio/caja,17,Capex elevado,0.0,0,COMPATIBLE
13,Diferencias EBITDA/EBIT/beneficio/caja,18,Adquisición,0.0,0,COMPATIBLE
13,Diferencias EBITDA/EBIT/beneficio/caja,19,Activo mantenido para la venta,0.0,0,COMPATIBLE
13,Diferencias EBITDA/EBIT/beneficio/caja,20,Operaciones vinculadas,0.0,0,COMPATIBLE
13,Diferencias EBITDA/EBIT/beneficio/caja,21,Coberturas,0.0,0,COMPATIBLE
13,Diferencias EBITDA/EBIT/beneficio/caja,22,Información relevante en memoria,0.0,0,COMPATIBLE
14,ROE elevado por apalancamiento,15,Riesgo de liquidez pese a beneficio,0.0,0,COMPATIBLE
14,ROE elevado por apalancamiento,16,Riesgo de refinanciación,0.0,0,COMPATIBLE
14,ROE elevado por apalancamiento,17,Capex elevado,0.0,0,COMPATIBLE
14,ROE elevado por apalancamiento,18,Adquisición,0.0,0,COMPATIBLE
14,ROE elevado por apalancamiento,19,Activo mantenido para la venta,0.0,0,COMPATIBLE
14,ROE elevado por apalancamiento,20,Operaciones vinculadas,0.0,0,COMPATIBLE
14,ROE elevado por apalancamiento,21,Coberturas,0.667,0,REDUNDANTE
14,ROE elevado por apalancamiento,22,Información relevante en memoria,0.0,0,COMPATIBLE
15,Riesgo de liquidez pese a beneficio,16,Riesgo de refinanciación,0.0,0,COMPATIBLE
15,Riesgo de liquidez pese a beneficio,17,Capex elevado,0.0,0,COMPATIBLE
15,Riesgo de liquidez pese a beneficio,18,Adquisición,0.0,0,COMPATIBLE
15,Riesgo de liquidez pese a beneficio,19,Activo mantenido para la venta,0.0,0,COMPATIBLE
15,Riesgo de liquidez pese a beneficio,20,Operaciones vinculadas,0.0,0,COMPATIBLE
15,Riesgo de liquidez pese a beneficio,21,Coberturas,0.0,0,COMPATIBLE
15,Riesgo de liquidez pese a beneficio,22,Información relevante en memoria,0.0,0,COMPATIBLE
16,Riesgo de refinanciación,17,Capex elevado,0.0,0,COMPATIBLE
16,Riesgo de refinanciación,18,Adquisición,0.0,0,COMPATIBLE
16,Riesgo de refinanciación,19,Activo mantenido para la venta,0.0,0,COMPATIBLE
16,Riesgo de refinanciación,20,Operaciones vinculadas,0.0,0,COMPATIBLE
16,Riesgo de refinanciación,21,Coberturas,0.0,0,COMPATIBLE
16,Riesgo de refinanciación,22,Información relevante en memoria,0.0,0,COMPATIBLE
17,Capex elevado,18,Adquisición,0.5,0,REDUNDANTE
17,Capex elevado,19,Activo mantenido para la venta,1.0,1,INCOMPATIBLE
17,Capex elevado,20,Operaciones vinculadas,0.0,0,COMPATIBLE
17,Capex elevado,21,Coberturas,0.0,0,COMPATIBLE
17,Capex elevado,22,Información relevante en memoria,0.0,0,COMPATIBLE
18,Adquisición,19,Activo mantenido para la venta,0.5,1,INCOMPATIBLE
18,Adquisición,20,Operaciones vinculadas,0.0,0,COMPATIBLE
18,Adquisición,21,Coberturas,0.0,0,COMPATIBLE
18,Adquisición,22,Información relevante en memoria,0.0,0,COMPATIBLE
19,Activo mantenido para la venta,20,Operaciones vinculadas,0.0,0,COMPATIBLE
19,Activo mantenido para la venta,21,Coberturas,0.0,0,COMPATIBLE
19,Activo mantenido para la venta,22,Información relevante en memoria,0.0,0,COMPATIBLE
20,Operaciones vinculadas,21,Coberturas,0.0,0,COMPATIBLE
20,Operaciones vinculadas,22,Información relevante en memoria,0.0,0,COMPATIBLE
21,Coberturas,22,Información relevante en memoria,0.0,0,COMPATIBLE
